code,label_ja,label_hierarchical
912.7,シナリオ．放送ドラマ,日本文学/戯曲/シナリオ．放送ドラマ
912.78,複数作家の作品集,戯曲/シナリオ．放送ドラマ/複数作家の作品集
912.8,児童劇,日本文学/戯曲/児童劇
913,小説．物語,日本文学/小説．物語
913.2,古代前期［上代］：奈良時代まで,日本文学/小説．物語/古代前期［上代］：奈良時代まで
913.3,古代後期［中古］：平安時代,日本文学/小説．物語/古代後期［中古］：平安時代
913.31,竹取物語,小説．物語/古代後期［中古］：平安時代/竹取物語
913.31/.36,平安時代前期の物語,平安時代前期の物語
913.32,伊勢物語,小説．物語/古代後期［中古］：平安時代/伊勢物語
913.33,大和物語．平中物語．篁物語,小説．物語/古代後期［中古］：平安時代/大和物語．平中物語．篁物語
913.34,宇津保物語,小説．物語/古代後期［中古］：平安時代/宇津保物語
913.35,落窪物語,小説．物語/古代後期［中古］：平安時代/落窪物語
913.36,源氏物語,小説．物語/古代後期［中古］：平安時代/源氏物語
913.361,書誌．索引,古代後期［中古］：平安時代/源氏物語/書誌．索引
913.362,年表．系図．故実,古代後期［中古］：平安時代/源氏物語/年表．系図．故実
913.363,和歌,古代後期［中古］：平安時代/源氏物語/和歌
913.364,評釈．語法,古代後期［中古］：平安時代/源氏物語/評釈．語法
913.365,梗概．抄録,古代後期［中古］：平安時代/源氏物語/梗概．抄録
913.366,秘事,古代後期［中古］：平安時代/源氏物語/秘事
913.369,訳文,古代後期［中古］：平安時代/源氏物語/訳文
913.37,説話物語：日本霊異記，江談抄，今昔物語，打聞集，古本説話集,小説．物語/古代後期［中古］：平安時代/説話物語：日本霊異記，江談抄，今昔物語，打聞集，古本説話集
913.38,平安時代後期の物語,小説．物語/古代後期［中古］：平安時代/平安時代後期の物語
913.381,狭衣物語,古代後期［中古］：平安時代/平安時代後期の物語/狭衣物語
913.382,夜半の寝覚,古代後期［中古］：平安時代/平安時代後期の物語/夜半の寝覚
913.383,浜松中納言物語,古代後期［中古］：平安時代/平安時代後期の物語/浜松中納言物語
913.384,堤中納言物語,古代後期［中古］：平安時代/平安時代後期の物語/堤中納言物語
913.385,とりかへばや物語,古代後期［中古］：平安時代/平安時代後期の物語/とりかへばや物語
913.389,散佚物語,古代後期［中古］：平安時代/平安時代後期の物語/散佚物語
913.39,歴史物語,小説．物語/古代後期［中古］：平安時代/歴史物語
913.392,栄華物語,古代後期［中古］：平安時代/歴史物語/栄華物語
913.393,大鏡,古代後期［中古］：平安時代/歴史物語/大鏡
913.394,今鏡,古代後期［中古］：平安時代/歴史物語/今鏡
913.399,軍記物語：将門記，陸奥話記,小説．物語/古代後期［中古］：平安時代/軍記物語：将門記，陸奥話記
913.4,中世：鎌倉・室町時代,日本文学/小説．物語/中世：鎌倉・室町時代
913.41,物語：住吉物語，石清水物語，松浦宮物語，鳴門中将物語，我身にたどる姫君，苔の衣，浅茅が露,小説．物語/中世：鎌倉・室町時代/物語：住吉物語，石清水物語，松浦宮物語，鳴門中将物語，我身にたどる姫君，苔の衣，浅茅が露
913.42,歴史物語,小説．物語/中世：鎌倉・室町時代/歴史物語
913.425,水鏡,中世：鎌倉・室町時代/歴史物語/水鏡
913.426,増鏡,中世：鎌倉・室町時代/歴史物語/増鏡
913.43,軍記物語,小説．物語/中世：鎌倉・室町時代/軍記物語
913.432,保元物語,中世：鎌倉・室町時代/軍記物語/保元物語
913.433,平治物語,中世：鎌倉・室町時代/軍記物語/平治物語
913.434,平家物語．源平盛衰記,中世：鎌倉・室町時代/軍記物語/平家物語．源平盛衰記
913.435,太平記,中世：鎌倉・室町時代/軍記物語/太平記
913.436,義経記,中世：鎌倉・室町時代/軍記物語/義経記
913.437,曽我物語,中世：鎌倉・室町時代/軍記物語/曽我物語
913.438,その他の軍記物語：承久記，応仁記,中世：鎌倉・室町時代/軍記物語/その他の軍記物語：承久記，応仁記
913.47,説話物語：古事談，発心集，宇治拾遺物語，今物語，十訓抄，古今著聞集，撰集抄，沙石集，雑談集,小説．物語/中世：鎌倉・室町時代/説話物語：古事談，発心集，宇治拾遺物語，今物語，十訓抄，古今著聞集，撰集抄，沙石集，雑談集
913.49,お伽草子：一寸法師，浦島太郎，文正草紙，ものぐさ太郎,小説．物語/中世：鎌倉・室町時代/お伽草子：一寸法師，浦島太郎，文正草紙，ものぐさ太郎
913.5,近世：江戸時代,日本文学/小説．物語/近世：江戸時代
913.51,仮名草子：浅井了意，鈴木正三,小説．物語/近世：江戸時代/仮名草子：浅井了意，鈴木正三
