year,title,genre_major,location,lat,lon,creator_normalized,coordinates
1847,発句類題菖蒲机,日本文学,江戸,35.6895,139.6917,不明,"35.6895,139.6917"
1855,登茂婦え集,日本文学,金沢,36.5613,136.6562,その他,"36.5613,136.6562"
1833,百人一首一夕話,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1851,百人一首梓語 : 初篇3巻,詩歌,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1835,百人一首由来,詩歌,江戸,35.6895,139.6917,不明,"35.6895,139.6917"
1823,百首異見,和歌．短歌,京都,35.0116,135.7681,香川 景樹,"35.0116,135.7681"
1807,盆石皿山記 : 2編4巻,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1827,相合駕江ノ嶋詣,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1818,相馬日記,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1848,秀雅百人一首,日本文学,江戸,35.6895,139.6917,緑亭 川柳,"35.6895,139.6917"
1858,積翠閑話,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1851,竹取物語,小説．物語,江戸,35.6895,139.6917,山東 京山,"35.6895,139.6917"
1858,竹外二十八字詩,文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1806,筆のすさび,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1825,節用木の葉かご,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1852,粟津芭蕉翁像前額面,日本文学,金沢,36.5613,136.6562,不明,"36.5613,136.6562"
1834,紀記歌集 : 2巻,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1805,絵本三国妖婦伝 : 3編15巻,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1801,絵本保元平治,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1800,絵本川柳点,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1821,絵本平泉実記,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1800,絵本忠臣蔵,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1803,絵本拾遺信長記,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1850,絵本柳のみどり,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1849,絵本柳の緑,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1863,絵本豊臣勲功記,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1836,絵本豊臣琉球軍記,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1841,絵本通俗三国志 : 8編75巻,小説．物語,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1852,続撰和漢朗詠集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
